,ID,Parish,Ward,Precinct,Boulet,Guillory,Total,Boulet_VS,Guillory_VS,Winner_num,Winner_name,Runoff_winner,Flipped_to
0,Lafayette Mayor-President,28,00,1,156,182,338,0.46153846153846156,0.5384615384615384,3,Josh Guillory,Josh Guillory,Did not flip
1,Lafayette Mayor-President,28,00,2,122,142,264,0.4621212121212121,0.5378787878787878,3,Josh Guillory,Josh Guillory,Did not flip
2,Lafayette Mayor-President,28,00,3,102,148,250,0.408,0.592,3,Josh Guillory,Josh Guillory,Did not flip
3,Lafayette Mayor-President,28,00,4,189,153,342,0.5526315789473685,0.4473684210526316,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
4,Lafayette Mayor-President,28,00,5,120,49,169,0.7100591715976331,0.28994082840236685,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
5,Lafayette Mayor-President,28,00,6,246,234,480,0.5125,0.4875,1,Monique Blanco Boulet,Josh Guillory,Flipped to Monique Blanco Boulet
6,Lafayette Mayor-President,28,00,7,244,127,371,0.6576819407008087,0.3423180592991914,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
7,Lafayette Mayor-President,28,00,8,147,107,254,0.5787401574803149,0.421259842519685,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
8,Lafayette Mayor-President,28,00,9,160,124,284,0.5633802816901409,0.43661971830985913,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
9,Lafayette Mayor-President,28,00,10,66,79,145,0.45517241379310347,0.5448275862068965,3,Josh Guillory,Josh Guillory,Did not flip
10,Lafayette Mayor-President,28,00,11,203,110,313,0.6485623003194888,0.3514376996805112,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
11,Lafayette Mayor-President,28,00,12,143,90,233,0.6137339055793991,0.38626609442060084,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
12,Lafayette Mayor-President,28,00,13,152,89,241,0.6307053941908713,0.36929460580912865,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
13,Lafayette Mayor-President,28,00,14,114,42,156,0.7307692307692307,0.2692307692307692,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
14,Lafayette Mayor-President,28,00,15,115,7,122,0.9426229508196722,0.05737704918032787,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
15,Lafayette Mayor-President,28,00,16,85,16,101,0.8415841584158416,0.15841584158415842,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
16,Lafayette Mayor-President,28,00,17,144,23,167,0.8622754491017964,0.1377245508982036,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
17,Lafayette Mayor-President,28,00,18,194,16,210,0.9238095238095239,0.0761904761904762,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
18,Lafayette Mayor-President,28,00,19,177,10,187,0.946524064171123,0.053475935828877004,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
19,Lafayette Mayor-President,28,00,20,253,41,294,0.8605442176870748,0.13945578231292516,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
20,Lafayette Mayor-President,28,00,21,130,17,147,0.8843537414965986,0.11564625850340136,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
21,Lafayette Mayor-President,28,00,22,67,3,70,0.9571428571428572,0.04285714285714286,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
22,Lafayette Mayor-President,28,00,23,102,9,111,0.918918918918919,0.08108108108108109,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
23,Lafayette Mayor-President,28,00,24,197,12,209,0.9425837320574163,0.05741626794258373,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
24,Lafayette Mayor-President,28,00,25,33,58,91,0.3626373626373626,0.6373626373626373,3,Josh Guillory,Josh Guillory,Did not flip
25,Lafayette Mayor-President,28,00,26,112,78,190,0.5894736842105263,0.4105263157894737,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
26,Lafayette Mayor-President,28,00,27,72,77,149,0.48322147651006714,0.5167785234899329,3,Josh Guillory,Josh Guillory,Did not flip
27,Lafayette Mayor-President,28,00,28,165,273,438,0.3767123287671233,0.6232876712328768,3,Josh Guillory,Josh Guillory,Did not flip
28,Lafayette Mayor-President,28,00,29,97,141,238,0.40756302521008403,0.592436974789916,3,Josh Guillory,Josh Guillory,Did not flip
29,Lafayette Mayor-President,28,00,30,88,103,191,0.4607329842931937,0.5392670157068062,3,Josh Guillory,Josh Guillory,Did not flip
30,Lafayette Mayor-President,28,00,31,119,146,265,0.4490566037735849,0.5509433962264151,3,Josh Guillory,Josh Guillory,Did not flip
31,Lafayette Mayor-President,28,00,32,173,156,329,0.5258358662613982,0.47416413373860183,1,Monique Blanco Boulet,Josh Guillory,Flipped to Monique Blanco Boulet
32,Lafayette Mayor-President,28,00,33,152,225,377,0.40318302387267907,0.596816976127321,3,Josh Guillory,Josh Guillory,Did not flip
33,Lafayette Mayor-President,28,00,34,151,202,353,0.42776203966005666,0.5722379603399433,3,Josh Guillory,Josh Guillory,Did not flip
34,Lafayette Mayor-President,28,00,35,78,141,219,0.3561643835616438,0.6438356164383562,3,Josh Guillory,Josh Guillory,Did not flip
35,Lafayette Mayor-President,28,00,36,203,248,451,0.4501108647450111,0.549889135254989,3,Josh Guillory,Josh Guillory,Did not flip
36,Lafayette Mayor-President,28,00,37,163,232,395,0.41265822784810124,0.5873417721518988,3,Josh Guillory,Josh Guillory,Did not flip
37,Lafayette Mayor-President,28,00,38,175,118,293,0.5972696245733788,0.40273037542662116,1,Monique Blanco Boulet,Jan Swift,Flipped to Monique Blanco Boulet
38,Lafayette Mayor-President,28,00,39,110,61,171,0.6432748538011696,0.3567251461988304,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
39,Lafayette Mayor-President,28,00,40,80,72,152,0.5263157894736842,0.47368421052631576,1,Monique Blanco Boulet,Josh Guillory,Flipped to Monique Blanco Boulet
40,Lafayette Mayor-President,28,00,41,92,84,176,0.5227272727272727,0.4772727272727273,1,Monique Blanco Boulet,Josh Guillory,Flipped to Monique Blanco Boulet
41,Lafayette Mayor-President,28,00,42,115,85,200,0.575,0.425,1,Monique Blanco Boulet,Josh Guillory,Flipped to Monique Blanco Boulet
42,Lafayette Mayor-President,28,00,43,73,96,169,0.4319526627218935,0.5680473372781065,3,Josh Guillory,Josh Guillory,Did not flip
43,Lafayette Mayor-President,28,00,44,59,64,123,0.4796747967479675,0.5203252032520326,3,Josh Guillory,Josh Guillory,Did not flip
44,Lafayette Mayor-President,28,00,45,84,93,177,0.4745762711864407,0.5254237288135594,3,Josh Guillory,Josh Guillory,Did not flip
45,Lafayette Mayor-President,28,00,46,70,59,129,0.5426356589147286,0.4573643410852713,1,Monique Blanco Boulet,Josh Guillory,Flipped to Monique Blanco Boulet
46,Lafayette Mayor-President,28,00,47,123,118,241,0.5103734439834025,0.4896265560165975,1,Monique Blanco Boulet,Josh Guillory,Flipped to Monique Blanco Boulet
47,Lafayette Mayor-President,28,00,48,107,70,177,0.6045197740112994,0.3954802259887006,1,Monique Blanco Boulet,Josh Guillory,Flipped to Monique Blanco Boulet
48,Lafayette Mayor-President,28,00,49,251,136,387,0.648578811369509,0.35142118863049093,1,Monique Blanco Boulet,Jan Swift,Flipped to Monique Blanco Boulet
49,Lafayette Mayor-President,28,00,51,129,11,140,0.9214285714285714,0.07857142857142857,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
50,Lafayette Mayor-President,28,00,52,122,17,139,0.8776978417266187,0.1223021582733813,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
51,Lafayette Mayor-President,28,00,53,126,18,144,0.875,0.125,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
52,Lafayette Mayor-President,28,00,54,103,7,110,0.9363636363636364,0.06363636363636363,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
53,Lafayette Mayor-President,28,00,55,174,51,225,0.7733333333333333,0.22666666666666666,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
54,Lafayette Mayor-President,28,00,56,170,7,177,0.96045197740113,0.03954802259887006,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
55,Lafayette Mayor-President,28,00,57,125,14,139,0.8992805755395683,0.10071942446043165,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
56,Lafayette Mayor-President,28,00,58,83,1,84,0.9880952380952381,0.011904761904761904,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
57,Lafayette Mayor-President,28,00,59,79,72,151,0.5231788079470199,0.4768211920529801,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
58,Lafayette Mayor-President,28,00,60,87,48,135,0.6444444444444445,0.35555555555555557,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
59,Lafayette Mayor-President,28,00,61,54,4,58,0.9310344827586207,0.06896551724137931,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
60,Lafayette Mayor-President,28,00,62,38,2,40,0.95,0.05,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
61,Lafayette Mayor-President,28,00,63,85,24,109,0.7798165137614679,0.22018348623853212,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
62,Lafayette Mayor-President,28,00,64,56,56,112,0.5,0.5,2,Tie,Josh Guillory,Flipped to Tie
63,Lafayette Mayor-President,28,00,65,63,16,79,0.7974683544303798,0.20253164556962025,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
64,Lafayette Mayor-President,28,00,66,75,21,96,0.78125,0.21875,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
65,Lafayette Mayor-President,28,00,67,103,129,232,0.44396551724137934,0.5560344827586207,3,Josh Guillory,Josh Guillory,Did not flip
66,Lafayette Mayor-President,28,00,68,97,20,117,0.8290598290598291,0.17094017094017094,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
67,Lafayette Mayor-President,28,00,69,125,37,162,0.7716049382716049,0.22839506172839505,1,Monique Blanco Boulet,Jan Swift,Flipped to Monique Blanco Boulet
68,Lafayette Mayor-President,28,00,70,141,57,198,0.7121212121212122,0.2878787878787879,1,Monique Blanco Boulet,Jan Swift,Flipped to Monique Blanco Boulet
69,Lafayette Mayor-President,28,00,71,95,114,209,0.45454545454545453,0.5454545454545454,3,Josh Guillory,Josh Guillory,Did not flip
70,Lafayette Mayor-President,28,00,72,45,18,63,0.7142857142857143,0.2857142857142857,1,Monique Blanco Boulet,Jan Swift,Flipped to Monique Blanco Boulet
71,Lafayette Mayor-President,28,00,73,103,72,175,0.5885714285714285,0.4114285714285714,1,Monique Blanco Boulet,Monique Blanco Boulet,Did not flip
