,ID,Parish,Ward,Precinct,Boulet,Guillory,Swift,Total,Winner_num,Winner_name
0,Lafayette Mayor-President,28,00,1,153,211,129,493,3,Josh Guillory
1,Lafayette Mayor-President,28,00,2,96,175,106,377,3,Josh Guillory
2,Lafayette Mayor-President,28,00,3,80,192,67,339,3,Josh Guillory
3,Lafayette Mayor-President,28,00,4,0,0,0,0,0,Not yet reporting
4,Lafayette Mayor-President,28,00,5,0,0,0,0,0,Not yet reporting
5,Lafayette Mayor-President,28,00,6,191,290,171,652,3,Josh Guillory
6,Lafayette Mayor-President,28,00,7,0,0,0,0,0,Not yet reporting
7,Lafayette Mayor-President,28,00,8,0,0,0,0,0,Not yet reporting
8,Lafayette Mayor-President,28,00,9,0,0,0,0,0,Not yet reporting
9,Lafayette Mayor-President,28,00,10,0,0,0,0,0,Not yet reporting
10,Lafayette Mayor-President,28,00,11,0,0,0,0,0,Not yet reporting
11,Lafayette Mayor-President,28,00,12,0,0,0,0,0,Not yet reporting
12,Lafayette Mayor-President,28,00,13,142,95,74,311,1,Monique Blanco Boulet
13,Lafayette Mayor-President,28,00,14,93,53,23,169,1,Monique Blanco Boulet
14,Lafayette Mayor-President,28,00,15,104,12,17,133,1,Monique Blanco Boulet
15,Lafayette Mayor-President,28,00,16,0,0,0,0,0,Not yet reporting
16,Lafayette Mayor-President,28,00,17,0,0,0,0,0,Not yet reporting
17,Lafayette Mayor-President,28,00,18,0,0,0,0,0,Not yet reporting
18,Lafayette Mayor-President,28,00,19,165,22,16,203,1,Monique Blanco Boulet
19,Lafayette Mayor-President,28,00,20,240,55,40,335,1,Monique Blanco Boulet
20,Lafayette Mayor-President,28,00,21,111,23,12,146,1,Monique Blanco Boulet
21,Lafayette Mayor-President,28,00,22,57,3,6,66,1,Monique Blanco Boulet
22,Lafayette Mayor-President,28,00,23,100,10,14,124,1,Monique Blanco Boulet
23,Lafayette Mayor-President,28,00,24,172,28,16,216,1,Monique Blanco Boulet
24,Lafayette Mayor-President,28,00,25,27,59,38,124,3,Josh Guillory
25,Lafayette Mayor-President,28,00,26,97,84,62,243,1,Monique Blanco Boulet
26,Lafayette Mayor-President,28,00,27,67,99,25,191,3,Josh Guillory
27,Lafayette Mayor-President,28,00,28,0,0,0,0,0,Not yet reporting
28,Lafayette Mayor-President,28,00,29,83,160,76,319,3,Josh Guillory
29,Lafayette Mayor-President,28,00,30,76,128,61,265,3,Josh Guillory
30,Lafayette Mayor-President,28,00,31,0,0,0,0,0,Not yet reporting
31,Lafayette Mayor-President,28,00,32,0,0,0,0,0,Not yet reporting
32,Lafayette Mayor-President,28,00,33,0,0,0,0,0,Not yet reporting
33,Lafayette Mayor-President,28,00,34,0,0,0,0,0,Not yet reporting
34,Lafayette Mayor-President,28,00,35,83,151,75,309,3,Josh Guillory
35,Lafayette Mayor-President,28,00,36,0,0,0,0,0,Not yet reporting
36,Lafayette Mayor-President,28,00,37,0,0,0,0,0,Not yet reporting
37,Lafayette Mayor-President,28,00,38,100,102,123,325,2,Jan Swift
38,Lafayette Mayor-President,28,00,39,0,0,0,0,0,Not yet reporting
39,Lafayette Mayor-President,28,00,40,0,0,0,0,0,Not yet reporting
40,Lafayette Mayor-President,28,00,41,0,0,0,0,0,Not yet reporting
